code,product_name,brands,categories_tags,countries_tags,packaging_tags,stores,purchase_places,nutriscore_grade,nova_group,ecoscore_grade,ingredients_text,nutriments.sugars_100g,nutriments.energy-kcal_100g
8801128542647,110G Xlcup Fruits De Mer M. min,Minute Maid,,france,,,,unknown,4.0,,"Nouilles: Farine de blé (céréales contenant du gluten), amidon de tapioca modifié, huile de palme raffinée, sel raffiné,
émulsifiant (soja), correcteur d'acidité, extrait d'oignon (soja), gomme de guar (E412), poudre de tocophérols mélangé, 
assaisonnement d'huile de thé vert, riboflavine (E101), acide citrique (E330) / Bouillon déshydraté: sel, sucre, glutamate L 
monosodique (E621), assaisonnement de poudre de calamar (calamar), poudre d'extrait de crevette (crevette), 
assaisonnement de poudre de moule (moule, soja, blé), substitut de poudre de lait entier (lait), poudre de sauce soja 
fermentée (soja), poudre de poivre blanc, protéines végétales hydrolisées (soja), poudre de riz, inosinate disodique (E631), 
disodium 5-guanylate (E627), poudre de gingembre, poudre d'ail, huile de soja (soja), acide DL-malique (E296) / Légumes 
déshydratés: chou déshydraté, carotte déshydratée, radis vert déshydraté, oignon vert déshydraté.",,
8851959140949,พัลพิ,"มินิทเมด,Minute Maid","beverages-and-beverages-preparations, plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-nectars, fruit-juices, orange-nectars",thailand,"th:ขวด, th:ขวดพลาสติก",,,e,4.0,,"น้ำส้ม 20% จากน้ำส้มเข้มข้น, น้ำตาล 10.5%, เนื้อส้ม 5%, สารควบคุมความเป็นกรด (INS 300, INS 330), สาร  (INS 440), แต่งกลิ่นเลียนธรรมชาติ , ลีธรรมชาติ (INS 160aii), ใช้วัตถุกันเสีย",13.1,58.6
8901764239809,PROTEIN TOTAL FAT pany,"Minute Maid,The Coca-Cola Company","plant-based-foods-and-beverages, beverages, plant-based-foods, breakfasts, spreads, plant-based-beverages, plant-based-spreads, sweet-spreads, fruit-and-vegetable-preserves, fruit-based-beverages, juices-and-nectars, jams, mixed-fruit-jams, unsweetened-beverages, sweetened-beverages",india,"plastic, bottle, plastic-bottle",,"Kharagpur,West Bengal,India",unknown,4.0,e,"Water, Sugar, Mango Pulp (10,7 %), Guava Pulp (2,9 %), Banana Puree (2,9 %), Papaya Puree (0,3 %), acidity regulator (E330), antioxydant (E300), colorant (161g).",12.0,56.0
8992761166038,PULPY ORANGE,Minute Maid,,france,,,,unknown,,,"Air, Gula, Bulir Jeruk/ Orange Pulp (4,7%), Konsentrat Jeruk (Mengandung sari buah 5,3%), Pengatur Keasaman (Asam Sitrat, Trinatrium Sitrat), Vitamin C, Perisa Alami, Pewarna Alami (Beta Karoten CI No. 75130).",,
90338427,Minute maid,Minute Maid,beverages,france,,,,e,4.0,,"jus de fruit à base de concentré (Pomme mandarine mangue ananas goyave pêche orange), pulpe, vitamines C B3 E B5 B6 B2 provitamine a",,
90338915,Multivitamines,Minute Maid,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices, multifruit-juices","belgium, france","plastic, bottle",,,e,4.0,,"eau, jus de fruits à base de concentré (orange 40,4%, pomme 4,8% citron 2,3%, raisin 1,8%, pêche 0.8%), sucre, arômes, vitamine C, vitamine B3, vitamine E, vitamine B5, vitamine B6, vitamine B2, provitamine A",,
90343384,Multi fruits minute maid,Minute Maid,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices, multifruit-juices",france,"glass, bottle",,,d,,,,,
90357992,Ananas,Minute Maid,beverages,france,,,,e,,,,,
90377938,Minute maid abricot,Minute Maid,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages",france,bottle,,,e,,,,,
90399787,Minute maid tropical,Minute Maid,,france,,,,unknown,,,,,
9049000000000,Minute Maid Original Orange,Minute Maid,"beverages-and-beverages-preparations, plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices, fruit-juices-from-concentrate, orange-juices, orange-juices-from-concentrate","france, luxembourg",,,,d,1.0,,sinaasappelsap uit sapconcentraat,,
9049000000017,Pomme,Minute Maid,"beverages-and-beverages-preparations, plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices, non-alcoholic-beverages, unsweetened-beverages, apple-juices","belgium, france, germany",,,,d,,,,,
